Node_1_locus_tag,Node_1_gene_name,Node_1_oma_id,Node_2_locus_tag,Node_2_gene_name,Node_2_oma_id,Node_1_orthology_group_id,Node_2_orthology_group_id,Source,Strain,Layer
SNSL254_RS01295,STM0054,SALTY00054,SNSL254_RS18855,STM3500,SALTY03374,OMA01244,OMA00607,PMID:31455646,Salmonella_newport_SL254,Metabolic
SNSL254_RS01295,STM0054,SALTY00054,SNSL254_RS04750,STM0730,SALTY00709,OMA01244,OMA01123,PMID:31455646,Salmonella_newport_SL254,Metabolic
SNSL254_RS01295,STM0054,SALTY00054,SNSL254_RS02955,STM0369,SALTY00358,OMA01244,OMA01465,PMID:31455646,Salmonella_newport_SL254,Metabolic
SNSL254_RS01295,STM0054,SALTY00054,SNSL254_RS10775,STM1884,SALTY01823,OMA01244,OMA03656,PMID:31455646,Salmonella_newport_SL254,Metabolic
SNSL254_RS18110,STM3351,SALTY03234,SNSL254_RS01295,STM0054,SALTY00054,OMA01270,OMA01244,PMID:31455646,Salmonella_newport_SL254,Metabolic
SNSL254_RS01295,STM0054,SALTY00054,SNSL254_RS18110,STM3351,SALTY03234,OMA01244,OMA01270,PMID:31455646,Salmonella_newport_SL254,Metabolic
SNSL254_RS18110,STM3351,SALTY03234,SNSL254_RS18110,STM3351,SALTY03234,OMA01270,OMA01270,PMID:31455646,Salmonella_newport_SL254,Metabolic
SNSL254_RS18110,STM3351,SALTY03234,SNSL254_RS01305,STM0056,SALTY00055,OMA01270,OMA05678,PMID:31455646,Salmonella_newport_SL254,Metabolic
SNSL254_RS16130,STM2961,SALTY02856,SNSL254_RS19810,STM3698,SALTY03569,OMA01025,OMA01095,PMID:31455646,Salmonella_newport_SL254,Metabolic
SNSL254_RS19690,STM3674,SALTY03545,SNSL254_RS17240,STM3171,SALTY03059,OMA00719,OMA01179,PMID:31455646,Salmonella_newport_SL254,Metabolic
SNSL254_RS19690,STM3674,SALTY03545,SNSL254_RS17230,STM3169,SALTY03057,OMA00719,OMA02075,PMID:31455646,Salmonella_newport_SL254,Metabolic
SNSL254_RS19690,STM3674,SALTY03545,SNSL254_RS17235,STM3170,SALTY03058,OMA00719,OMA04280,PMID:31455646,Salmonella_newport_SL254,Metabolic
SNSL254_RS22955,STM4300,SALTY04137,SNSL254_RS04915,STM0761,SALTY00735,OMA00572,OMA04037,PMID:31455646,Salmonella_newport_SL254,Metabolic
SNSL254_RS22955,STM4300,SALTY04137,SNSL254_RS04920,STM0762,SALTY00736,OMA00572,OMA02461,PMID:31455646,Salmonella_newport_SL254,Metabolic
SNSL254_RS08760,STM1497,SALTY01439,SNSL254_RS05760,STM0966,SALTY00935,OMA03578,OMA02579,PMID:31455646,Salmonella_newport_SL254,Metabolic
SNSL254_RS08765,STM1498,SALTY01440,SNSL254_RS08760,STM1497,SALTY01439,OMA00165,OMA03578,PMID:31455646,Salmonella_newport_SL254,Metabolic
SNSL254_RS19690,STM3674,SALTY03545,SNSL254_RS21535,STM4054,SALTY03907,OMA00719,OMA02072,PMID:31455646,Salmonella_newport_SL254,Metabolic
SNSL254_RS19690,STM3674,SALTY03545,SNSL254_RS19685,STM3673,SALTY03544,OMA00719,OMA02089,PMID:31455646,Salmonella_newport_SL254,Metabolic
SNSL254_RS01550,STM0103,SALTY00102,SNSL254_RS19690,STM3674,SALTY03545,OMA00504,OMA00719,PMID:31455646,Salmonella_newport_SL254,Metabolic
SNSL254_RS19690,STM3674,SALTY03545,SNSL254_RS21530,STM4053,SALTY03906,OMA00719,OMA04167,PMID:31455646,Salmonella_newport_SL254,Metabolic
SNSL254_RS23445,STM4387,SALTY04220,SNSL254_RS19690,STM3674,SALTY03545,OMA02598,OMA00719,PMID:31455646,Salmonella_newport_SL254,Metabolic
SNSL254_RS23440,STM4386,SALTY04219,SNSL254_RS19690,STM3674,SALTY03545,OMA03374,OMA00719,PMID:31455646,Salmonella_newport_SL254,Metabolic
SNSL254_RS19695,STM3675,SALTY03546,SNSL254_RS19690,STM3674,SALTY03545,OMA03509,OMA00719,PMID:31455646,Salmonella_newport_SL254,Metabolic
SNSL254_RS19690,STM3674,SALTY03545,SNSL254_RS21525,STM4052,SALTY03905,OMA00719,OMA01188,PMID:31455646,Salmonella_newport_SL254,Metabolic
SNSL254_RS19690,STM3674,SALTY03545,SNSL254_RS21490,STM4046,SALTY03899,OMA00719,OMA01214,PMID:31455646,Salmonella_newport_SL254,Metabolic
SNSL254_RS19690,STM3674,SALTY03545,SNSL254_RS19680,STM3672,SALTY03543,OMA00719,OMA01236,PMID:31455646,Salmonella_newport_SL254,Metabolic
SNSL254_RS19690,STM3674,SALTY03545,SNSL254_RS19660,STM3668,SALTY03539,OMA00719,OMA01981,PMID:31455646,Salmonella_newport_SL254,Metabolic
